Date,AMT,ANSS,BRK_A,BAM,KMX,CLNY,CSGP,DHR,DSGX,DLTR,MCO,ORLY,LAMR,MKL,MA
2009-01-02,25.83755041868127,28.74,99990.0,5.394828609380512,8.32,,33.51,20.906423724314973,2.92,14.016666666667,18.866489698154716,31.43,10.640925539414187,295.9,14.177841885462774
2009-01-05,25.73485064888194,28.81,102600.0,5.702904480649483,8.23,,33.23,20.584508203300434,2.93,13.94,18.875003457043775,30.64,11.163133122785153,296.25,14.507250950500898
2009-01-06,25.871783675281048,29.08,100090.0,6.217531220155607,8.51,,34.48,20.888338582684945,3.01,13.223333333333,19.56461792705755,30.21,12.52541377505724,313.9,15.336453079734802
2009-01-07,24.870460919737585,27.54,96490.0,5.9934760410509,8.13,,34.62,20.327699192154007,2.89,13.846666666667,19.377315231498255,28.88,11.594521996004648,293.75,14.408806862098702
2009-01-08,24.707852950888647,26.48,98700.0,6.193025184941029,8.4,,35.93,20.088975322637605,2.85,13.876666666667,19.283663883718603,29.14,10.799858282179263,302.05,14.476080176178337
2009-01-09,24.29705387169133,25.99,94750.0,6.333059671881471,8.1,,33.39,19.756208716645048,2.81,13.666666666667,19.607186721502845,28.28,10.822562959717132,298.55,14.2164620345189
2009-01-12,23.980396248143396,25.53,94324.0,6.052990698000587,7.83,,32.62,19.741740603341025,2.81,13.663333333333,19.57313168594661,28.16,10.587947958492494,295.0,14.02695974133683
2009-01-13,24.365520384890882,25.69,95300.0,6.02848466278601,7.81,,32.31,19.173867156158074,2.81,13.733333333333,19.607186721502845,28.33,10.25494602127043,303.55,14.254362493155314
2009-01-14,24.02318781889312,24.42,93150.0,5.601379477617663,7.4,,30.38,19.137696872898015,2.8,13.616666666667,20.26274615596039,27.0,9.0894392409932,283.25,13.767341599677396
2009-01-15,24.52812835373982,24.68,92900.0,5.632887237179262,7.73,,31.42,19.578974328670753,2.75,14.516666666667,19.121902464826483,28.3,8.86239246561452,290.01,12.34607440081187
2009-01-16,24.87901923388753,24.64,90660.0,5.615382926311707,8.11,,31.01,19.50663376215063,2.72,14.443333333333,18.210930263697172,28.54,8.93807472407408,297.5,12.148992015902516
2009-01-20,23.920488049093787,23.98,86250.0,5.170773430275806,7.22,,29.94,18.653015077213205,2.67,14.23,16.635884869221258,27.62,7.931500686561926,283.01,11.29244165071956
2009-01-21,25.29837662723479,25.82,88350.0,5.258294984613581,7.29,,31.28,18.8881219184036,2.55,14.356666666667,17.631994659241162,28.05,8.51425407670054,298.0,12.516626464675731
2009-01-22,25.486659538533562,25.3,88800.0,5.328312228083802,7.26,,30.47,18.71450455875531,2.66,14.346666666667,17.929976220358224,28.62,8.188820365324432,285.15,12.208685238254867
2009-01-23,25.777642219631662,25.39,86250.0,5.527861371973931,7.55,,29.98,18.573440454041073,2.73,14.163333333333,18.100251398139406,29.02,7.961773589945749,289.68,11.886531339845348
2009-01-26,25.674942449832333,25.67,85001.0,5.755417413252149,7.89,,29.79,20.298762965545958,2.7,14.19,17.912948702580106,30.09,8.098001655172958,279.33,11.665761168288237
2009-01-27,25.888900303580936,25.26,86112.0,5.916457073233657,8.29,,30.31,20.714721223036655,2.7,14.276666666667,18.764324591486005,30.05,7.802840847180673,290.25,12.010655341879605
2009-01-28,27.386605279821154,26.24,90300.0,6.0915001819092085,9.14,,32.07,20.88110452603293,2.81,14.57,19.930709559287088,31.05,8.256934397938036,307.6,12.664438253357746
2009-01-29,26.719056776125512,25.59,87400.0,5.731724259179192,8.86,,30.28,20.504933580128302,2.79,14.423333333333,18.71324203815165,30.55,7.386588425653091,283.75,12.231425513436717
2009-01-30,25.965925130930433,24.86,89502.0,5.565945157529086,8.27,,29.62,20.230039427351844,2.81,14.236666666667,18.236471540364352,29.07,6.8189714872063885,270.03,12.86531068413074
2009-02-02,25.888900303580936,24.79,89400.0,5.5236185783843785,8.13,,30.18,20.10344343594163,2.73,14.266666666667,18.330122888144,29.1,6.675175196133224,282.0,12.979012060039983
2009-02-03,26.18844129882898,24.85,90500.0,5.527145793313104,8.04,,29.76,20.31323107884998,2.81,14.646666666667,18.525939342592356,29.95,6.463264872446454,296.5,13.236735178767598
2009-02-04,25.88034198943099,24.74,90290.0,5.446019849952414,8.11,,29.71,20.421741928630166,2.81,13.916666666667,18.83243466259848,29.29,6.380014388140938,290.39,13.279373194733564
2009-02-05,26.222674555428757,25.39,87020.0,5.446019849952414,8.74,,29.56,20.967913205857077,2.82,11.676666666667,19.74340686372779,29.6,6.841676164744256,295.99,15.145023271111045
2009-02-06,25.846108732831215,26.03,89350.0,5.647071100889777,9.28,,30.9,21.17408382043942,2.79,11.796666666667,21.156690839311583,30.72,7.386588425653091,303.33,15.397061321043198
2009-02-09,25.70917570643211,25.91,90000.0,5.7775780532526255,9.44,,30.52,20.94982806422705,2.82,11.8,21.26736970486935,30.91,7.242792134579926,305.0,15.351580770679503
2009-02-10,24.742086207488423,25.11,88100.0,5.311985682660839,8.61,,29.48,20.215571314047818,2.84,11.68,21.07155325042099,28.69,6.561651808443883,294.05,14.96783862698581
2009-02-11,24.75064452163837,25.13,90400.0,5.3225673274470156,8.62,,29.8,20.392805702022116,2.8,11.426666666667,21.131149562644406,28.56,6.501106001676234,310.49,15.537293017997929
2009-02-12,24.699294636738703,25.4,89182.0,5.31904011251829,8.66,,29.54,20.385571645370103,2.73,11.563333333333,20.398966298185332,28.83,6.372446162294982,316.02,15.330735518429474
